"","study","survey","varNam"
"1","S1","pre","StartDate"
"2","S1","pre","EndDate"
"3","S1","pre","IPAddress"
"4","S1","pre","Progress"
"5","S1","pre","Duration__in_seconds_"
"6","S1","pre","Finished"
"7","S1","pre","RecordedDate"
"8","S1","pre","ResponseId"
"9","S1","pre","LocationLatitude"
"10","S1","pre","LocationLongitude"
"11","S1","pre","DistributionChannel"
"12","S1","pre","UserLanguage"
"13","S1","pre","Meta_Browser"
"14","S1","pre","Meta_Version"
"15","S1","pre","Meta_Operating_System"
"16","S1","pre","Meta_Resolution"
"17","S1","pre","name_1.0"
"18","S1","pre","PPP_1"
"19","S1","pre","e_mail_1"
"20","S1","pre","t_contact_First_Click"
"21","S1","pre","t_contact_Last_Click"
"22","S1","pre","t_contact_Page_Submit"
"23","S1","pre","t_contact_Click_Count"
"24","S1","pre","age"
"25","S1","pre","Gender"
"26","S1","pre","Gender_6_TEXT"
"27","S1","pre","Living"
"28","S1","pre","roommate_1"
"29","S1","pre","roommate_2"
"30","S1","pre","roommate_3"
"31","S1","pre","nationality"
"32","S1","pre","QsecondNat"
"33","S1","pre","SecondNationality"
"34","S1","pre","timeNL_1"
"35","S1","pre","Reason_1"
"36","S1","pre","Reason_2"
"37","S1","pre","Reason_3"
"38","S1","pre","Reason_4"
"39","S1","pre","Reason_5"
"40","S1","pre","Reason_6"
"41","S1","pre","Reason_7"
"42","S1","pre","Reason_8"
"43","S1","pre","Reason_8_TEXT"
"44","S1","pre","DutchLang"
"45","S1","pre","occupation_1"
"46","S1","pre","occupation_2"
"47","S1","pre","occupation_3"
"48","S1","pre","occupation_4"
"49","S1","pre","occupation_5"
"50","S1","pre","occupation_6"
"51","S1","pre","occupation_7"
"52","S1","pre","occupation_8"
"53","S1","pre","occupation_8_TEXT"
"54","S1","pre","CurrentEducation_1"
"55","S1","pre","CurrentEducation_2"
"56","S1","pre","CurrentEducation_7"
"57","S1","pre","CurrentEducation_6"
"58","S1","pre","CurrentEducation_6_TEXT"
"59","S1","pre","education_level_1"
"60","S1","pre","education_level_2"
"61","S1","pre","education_level_3"
"62","S1","pre","education_level_4"
"63","S1","pre","education_level_7"
"64","S1","pre","education_level_8"
"65","S1","pre","education_level_8_TEXT"
"66","S1","pre","education_level"
"67","S1","pre","EduLang_1"
"68","S1","pre","EduLang_2"
"69","S1","pre","EduLang_3"
"70","S1","pre","EduLang_4"
"71","S1","pre","RUG_faculty"
"72","S1","pre","Hanze_school"
"73","S1","pre","Study.0"
"74","S1","pre","association_1"
"75","S1","pre","association_2"
"76","S1","pre","association_3"
"77","S1","pre","association_7"
"78","S1","pre","association_4"
"79","S1","pre","association_5"
"80","S1","pre","association"
"81","S1","pre","DutchMeetNum"
"82","S1","pre","DutchFriends_1"
"83","S1","pre","AHIMSA_1"
"84","S1","pre","AHIMSA_2"
"85","S1","pre","AHIMSA_3"
"86","S1","pre","AHIMSA_4"
"87","S1","pre","AHIMSA_5"
"88","S1","pre","AHIMSA_6"
"89","S1","pre","AHIMSA_7"
"90","S1","pre","AHIMSA_8"
"91","S1","pre","assimilation"
"92","S1","pre","separation"
"93","S1","pre","integration"
"94","S1","pre","marginalization"
"95","S1","pre","VIA_1"
"96","S1","pre","VIA_2"
"97","S1","pre","VIA_3"
"98","S1","pre","VIA_4"
"99","S1","pre","VIA_5"
"100","S1","pre","VIA_6"
"101","S1","pre","VIA_7"
"102","S1","pre","VIA_8"
"103","S1","pre","VIA_9"
"104","S1","pre","VIA_10"
"105","S1","pre","VIA_11"
"106","S1","pre","VIA_12"
"107","S1","pre","VIA_13"
"108","S1","pre","VIA_14"
"109","S1","pre","VIA_15"
"110","S1","pre","VIA_16"
"111","S1","pre","VIA_17"
"112","S1","pre","VIA_18"
"113","S1","pre","VIA_19"
"114","S1","pre","VIA_20"
"115","S1","pre","VIA_heritage"
"116","S1","pre","VIA_Dutch"
"117","S1","pre","SAS_1"
"118","S1","pre","SAS_2"
"119","S1","pre","SAS_3"
"120","S1","pre","SAS_4"
"121","S1","pre","SAS_5"
"122","S1","pre","SAS_6"
"123","S1","pre","SAS_7"
"124","S1","pre","SAS_8"
"125","S1","pre","SAS_9"
"126","S1","pre","SSAS_surrounding"
"127","S1","pre","SSAS_privat"
"128","S1","pre","SSAS_public"
"129","S1","pre","SDT_1"
"130","S1","pre","SDT_2"
"131","S1","pre","SDT_3"
"132","S1","pre","SDT_4"
"133","S1","pre","SDT_5r"
"134","S1","pre","SDT_6r"
"135","S1","pre","SDT_7r"
"136","S1","pre","SDT_8r"
"137","S1","pre","SDT_5"
"138","S1","pre","SDT_6"
"139","S1","pre","SDT_7"
"140","S1","pre","SDT_8"
"141","S1","pre","SDT_9"
"142","S1","pre","SDT_10"
"143","S1","pre","SDT_11"
"144","S1","pre","SDT_12"
"145","S1","pre","SDT_13r"
"146","S1","pre","SDT_14r"
"147","S1","pre","SDT_15r"
"148","S1","pre","SDT_16r"
"149","S1","pre","SDT_13"
"150","S1","pre","SDT_14"
"151","S1","pre","SDT_15"
"152","S1","pre","SDT_16"
"153","S1","pre","SDT_17"
"154","S1","pre","SDT_18"
"155","S1","pre","SDT_19"
"156","S1","pre","SDT_20"
"157","S1","pre","SDT_21r"
"158","S1","pre","SDT_22r"
"159","S1","pre","SDT_23r"
"160","S1","pre","SDT_24r"
"161","S1","pre","SDT_21"
"162","S1","pre","SDT_22"
"163","S1","pre","SDT_23"
"164","S1","pre","SDT_24"
"165","S1","pre","autonomy"
"166","S1","pre","relatedness"
"167","S1","pre","competence"
"168","S1","pre","Anxiety_1"
"169","S1","pre","Anxiety_2"
"170","S1","pre","Anxiety_3"
"171","S1","pre","Anxiety_4"
"172","S1","pre","Anxiety_5"
"173","S1","pre","Anxiety_6"
"174","S1","pre","Anxiety_7r"
"175","S1","pre","Anxiety_8r"
"176","S1","pre","Anxiety_9r"
"177","S1","pre","Anxiety_10r"
"178","S1","pre","Anxiety_11r"
"179","S1","pre","Anxiety_12r"
"180","S1","pre","Anxiety_7"
"181","S1","pre","Anxiety_8"
"182","S1","pre","Anxiety_9"
"183","S1","pre","Anxiety_10"
"184","S1","pre","Anxiety_11"
"185","S1","pre","Anxiety_12"
"186","S1","pre","anxiety"
"187","S1","pre","SWL_1"
"188","S1","pre","SWL_2"
"189","S1","pre","SWL_3"
"190","S1","pre","SWL_4"
"191","S1","pre","SWL_5"
"192","S1","pre","swl"
"193","S1","pre","t_SWL_First_Click"
"194","S1","pre","t_SWL_Last_Click"
"195","S1","pre","t_SWL_Page_Submit"
"196","S1","pre","t_SWL_Click_Count"
"197","S1","pre","MDMQ_1"
"198","S1","pre","MDMQ_2"
"199","S1","pre","MDMQ_3"
"200","S1","pre","MDMQ_3r"
"201","S1","pre","MDMQ_4"
"202","S1","pre","MDMQ_4r"
"203","S1","pre","MDMQ_5"
"204","S1","pre","MDMQ_5r"
"205","S1","pre","MDMQ_6"
"206","S1","pre","MDMQ_7"
"207","S1","pre","MDMQ_7r"
"208","S1","pre","MDMQ_8"
"209","S1","pre","MDMQ_9"
"210","S1","pre","MDMQ_9r"
"211","S1","pre","MDMQ_10"
"212","S1","pre","MDMQ_11"
"213","S1","pre","MDMQ_11r"
"214","S1","pre","MDMQ_12"
"215","S1","pre","MDMQ_13"
"216","S1","pre","alertness"
"217","S1","pre","calmness"
"218","S1","pre","valence"
"219","S1","pre","t_MDMQ_First_Click"
"220","S1","pre","t_MDMQ_Last_Click"
"221","S1","pre","t_MDMQ_Page_Submit"
"222","S1","pre","t_MDMQ_Click_Count"
"223","S1","pre","date"
"224","S1","pre","time"
"225","S1","pre","City"
"226","S1","pre","ZIP"
"227","S1","pre","id"
"228","S1","pre","start.0"
"229","S1","pre","end"
"230","S1","daily","StartDate"
"231","S1","daily","EndDate"
"232","S1","daily","Status"
"233","S1","daily","IPAddress"
"234","S1","daily","Progress"
"235","S1","daily","Duration__in_seconds_"
"236","S1","daily","Finished"
"237","S1","daily","RecordedDate"
"238","S1","daily","ResponseId"
"239","S1","daily","RecipientLastName"
"240","S1","daily","RecipientFirstName"
"241","S1","daily","RecipientEmail"
"242","S1","daily","ExternalReference"
"243","S1","daily","LocationLatitude"
"244","S1","daily","LocationLongitude"
"245","S1","daily","DistributionChannel"
"246","S1","daily","UserLanguage"
"247","S1","daily","Meta_Browser"
"248","S1","daily","Meta_Version"
"249","S1","daily","Meta_Operating_System"
"250","S1","daily","Meta_Resolution"
"251","S1","daily","Contact_dum"
"252","S1","daily","t_welcome_First_Click"
"253","S1","daily","t_welcome_Last_Click"
"254","S1","daily","t_welcome_Page_Submit"
"255","S1","daily","t_welcome_Click_Count"
"256","S1","daily","number"
"257","S1","daily","time"
"258","S1","daily","duration_1"
"259","S1","daily","dyad.group"
"260","S1","daily","t_time_type_First_Click"
"261","S1","daily","t_time_type_Last_Click"
"262","S1","daily","t_time_type_Page_Submit"
"263","S1","daily","t_time_type_Click_Count"
"264","S1","daily","gr_size"
"265","S1","daily","gr_type_1"
"266","S1","daily","gr_type_2"
"267","S1","daily","gr_type_3"
"268","S1","daily","gr_type_4"
"269","S1","daily","gr_type_5"
"270","S1","daily","gr_type_6"
"271","S1","daily","gr_type_7"
"272","S1","daily","gr_type_8"
"273","S1","daily","gr_type_9"
"274","S1","daily","gr_type_10"
"275","S1","daily","gr_type_11"
"276","S1","daily","gr_type_12"
"277","S1","daily","gr_type_13"
"278","S1","daily","gr_type_14"
"279","S1","daily","gr_type_15"
"280","S1","daily","gr_type_16"
"281","S1","daily","gr_type_17_TEXT"
"282","S1","daily","t_gr_char_First_Click"
"283","S1","daily","t_gr_char_Last_Click"
"284","S1","daily","t_gr_char_Page_Submit"
"285","S1","daily","t_gr_char_Click_Count"
"286","S1","daily","gr_context_1"
"287","S1","daily","gr_context_2"
"288","S1","daily","gr_context_3"
"289","S1","daily","gr_context_4"
"290","S1","daily","gr_context_5"
"291","S1","daily","gr_context_6"
"292","S1","daily","gr_context_7"
"293","S1","daily","gr_context_8"
"294","S1","daily","gr_context_9"
"295","S1","daily","gr_context_10"
"296","S1","daily","gr_context_11"
"297","S1","daily","gr_context_12"
"298","S1","daily","gr_context_13_TEXT"
"299","S1","daily","gr_context_14_TEXT"
"300","S1","daily","t_gr_context_First_Click"
"301","S1","daily","t_gr_context_Last_Click"
"302","S1","daily","t_gr_context_Page_Submit"
"303","S1","daily","t_gr_context_Click_Count"
"304","S1","daily","gr_dutchness"
"305","S1","daily","t_gr_dutchness_First_Click"
"306","S1","daily","t_gr_dutchness_Last_Click"
"307","S1","daily","t_gr_dutchness_Page_Submit"
"308","S1","daily","t_gr_dutchness_Click_Count"
"309","S1","daily","dyad_type_1"
"310","S1","daily","dyad_type_2"
"311","S1","daily","dyad_type_3"
"312","S1","daily","dyad_type_4"
"313","S1","daily","dyad_type_5"
"314","S1","daily","dyad_type_6"
"315","S1","daily","dyad_type_7"
"316","S1","daily","dyad_type_8"
"317","S1","daily","dyad_type_9"
"318","S1","daily","dyad_type_10"
"319","S1","daily","dyad_type_11"
"320","S1","daily","dyad_type_12"
"321","S1","daily","dyad_type_13"
"322","S1","daily","dyad_type_14"
"323","S1","daily","dyad_type_15"
"324","S1","daily","dyad_type_16"
"325","S1","daily","dyad_type_17_TEXT"
"326","S1","daily","t_dyad_type_First_Click"
"327","S1","daily","t_dyad_type_Last_Click"
"328","S1","daily","t_dyad_type_Page_Submit"
"329","S1","daily","t_dyad_type_Click_Count"
"330","S1","daily","Context_1"
"331","S1","daily","Context_2"
"332","S1","daily","Context_3"
"333","S1","daily","Context_4"
"334","S1","daily","Context_5"
"335","S1","daily","Context_6"
"336","S1","daily","Context_7"
"337","S1","daily","Context_8"
"338","S1","daily","Context_9"
"339","S1","daily","Context_10"
"340","S1","daily","Context_11"
"341","S1","daily","Context_12"
"342","S1","daily","Context_13_TEXT"
"343","S1","daily","Context_14_TEXT"
"344","S1","daily","t_dyad_context_First_Click"
"345","S1","daily","t_dyad_context_Last_Click"
"346","S1","daily","t_dyad_context_Page_Submit"
"347","S1","daily","t_dyad_context_Click_Count"
"348","S1","daily","keyMotive"
"349","S1","daily","t_keyMotive_First_Click"
"350","S1","daily","t_keyMotive_Last_Click"
"351","S1","daily","t_keyMotive_Page_Submit"
"352","S1","daily","t_keyMotive_Click_Count"
"353","S1","daily","keymotive_fulfillemt_1"
"354","S1","daily","keyMotive_Dutch_1"
"355","S1","daily","t_keyMotive2_First_Click"
"356","S1","daily","t_keyMotive2_Last_Click"
"357","S1","daily","t_keyMotive2_Page_Submit"
"358","S1","daily","t_keyMotive2_Click_Count"
"359","S1","daily","autonomy_1"
"360","S1","daily","competence_1"
"361","S1","daily","relatedness_self_1"
"362","S1","daily","relatedness_other_1"
"363","S1","daily","t_SDT_First_Click"
"364","S1","daily","t_SDT_Last_Click"
"365","S1","daily","t_SDT_Page_Submit"
"366","S1","daily","t_SDT_Click_Count"
"367","S1","daily","qualityAccidental_1"
"368","S1","daily","qualityVoluntary_1"
"369","S1","daily","qualityCooperative_1"
"370","S1","daily","qualityDutchy_1"
"371","S1","daily","t_quality_First_Click"
"372","S1","daily","t_quality_Last_Click"
"373","S1","daily","t_quality_Page_Submit"
"374","S1","daily","t_quality_Click_Count"
"375","S1","daily","quality_overall_1"
"376","S1","daily","quality_meaning_1"
"377","S1","daily","quality_star_1"
"378","S1","daily","t_qaulity_overall_First_Click"
"379","S1","daily","t_qaulity_overall_Last_Click"
"380","S1","daily","t_qaulity_overall_Page_Submit"
"381","S1","daily","t_qaulity_overall_Click_Count"
"382","S1","daily","wantInt"
"383","S1","daily","desire_type_1"
"384","S1","daily","desire_type_2"
"385","S1","daily","desire_type_3"
"386","S1","daily","desire_type_4"
"387","S1","daily","desire_type_5"
"388","S1","daily","desire_type_6"
"389","S1","daily","desire_type_7"
"390","S1","daily","desire_type_8"
"391","S1","daily","desire_type_9"
"392","S1","daily","desire_type_10"
"393","S1","daily","desire_type_11"
"394","S1","daily","desire_type_12"
"395","S1","daily","desire_type_13"
"396","S1","daily","desire_type_14"
"397","S1","daily","desire_type_15"
"398","S1","daily","desire_type_16"
"399","S1","daily","desire_type_17_TEXT"
"400","S1","daily","desire_context_1"
"401","S1","daily","desire_context_2"
"402","S1","daily","desire_context_3"
"403","S1","daily","desire_context_4"
"404","S1","daily","desire_context_5"
"405","S1","daily","desire_context_6"
"406","S1","daily","desire_context_7"
"407","S1","daily","desire_context_8"
"408","S1","daily","desire_context_9"
"409","S1","daily","desire_context_10"
"410","S1","daily","desire_context_11"
"411","S1","daily","desire_context_12"
"412","S1","daily","desire_context_13_TEXT"
"413","S1","daily","desire_context_14_TEXT"
"414","S1","daily","Reason_nodesire"
"415","S1","daily","t_desire_First_Click"
"416","S1","daily","t_desire_Last_Click"
"417","S1","daily","t_desire_Page_Submit"
"418","S1","daily","t_desire_Click_Count"
"419","S1","daily","keyMotive_noInt"
"420","S1","daily","t_keyMotive_noInt_First_Click"
"421","S1","daily","t_keyMotive_noInt_Last_Click"
"422","S1","daily","t_keyMotive_noInt_Page_Submit"
"423","S1","daily","t_keyMotive_noInt_Click_Count"
"424","S1","daily","keyMotive_noInt_fulf_1"
"425","S1","daily","t_motive_noInt_fulf_First_Click"
"426","S1","daily","t_motive_noInt_fulf_Last_Click"
"427","S1","daily","t_motive_noInt_fulf_Page_Submit"
"428","S1","daily","t_motive_noInt_fulf_Click_Count"
"429","S1","daily","autonomy_NoInt_1"
"430","S1","daily","competence_NoInt_1"
"431","S1","daily","relatedness_1_NoInt_1"
"432","S1","daily","t_NoInt_SDT_First_Click"
"433","S1","daily","t_NoInt_SDT_Last_Click"
"434","S1","daily","t_NoInt_SDT_Page_Submit"
"435","S1","daily","t_NoInt_SDT_Click_Count"
"436","S1","daily","thermometerDutch_1"
"437","S1","daily","thermometerDutchInt_2"
"438","S1","daily","t_thermometer_First_Click"
"439","S1","daily","t_thermometer_Last_Click"
"440","S1","daily","t_thermometer_Page_Submit"
"441","S1","daily","t_thermometer_Click_Count"
"442","S1","daily","ExWB_1"
"443","S1","daily","t_exWB_First_Click"
"444","S1","daily","t_exWB_Last_Click"
"445","S1","daily","t_exWB_Page_Submit"
"446","S1","daily","t_exWB_Click_Count"
"447","S1","daily","MDMQ.v1_1"
"448","S1","daily","MDMQ.v1_2"
"449","S1","daily","MDMQ.v1_3"
"450","S1","daily","MDMQ.v1_3r"
"451","S1","daily","MDMQ.v1_4"
"452","S1","daily","MDMQ.v1_4r"
"453","S1","daily","MDMQ.v1_5"
"454","S1","daily","MDMQ.v1_5r"
"455","S1","daily","MDMQ.v1_6"
"456","S1","daily","MDMQ.v1_7"
"457","S1","daily","MDMQ.v1_7r"
"458","S1","daily","MDMQ.v1_8"
"459","S1","daily","MDMQ.v1_9"
"460","S1","daily","MDMQ.v1_9r"
"461","S1","daily","MDMQ.v1_10"
"462","S1","daily","MDMQ.v1_11"
"463","S1","daily","MDMQ.v1_11r"
"464","S1","daily","MDMQ.v1_12"
"465","S1","daily","MDMQ.v1_13"
"466","S1","daily","alertness1"
"467","S1","daily","calmness1"
"468","S1","daily","valence1"
"469","S1","daily","t_MDMQ.v1_First_Click"
"470","S1","daily","t_MDMQ.v1_Last_Click"
"471","S1","daily","t_MDMQ.v1_Page_Submit"
"472","S1","daily","t_MDMQ.v1_Click_Count"
"473","S1","daily","MDMQ.v2_1"
"474","S1","daily","MDMQ.v2_1r"
"475","S1","daily","MDMQ.v2_2"
"476","S1","daily","MDMQ.v2_3"
"477","S1","daily","MDMQ.v2_4"
"478","S1","daily","MDMQ.v2_4r"
"479","S1","daily","MDMQ.v2_5"
"480","S1","daily","MDMQ.v2_6"
"481","S1","daily","MDMQ.v2_6r"
"482","S1","daily","MDMQ.v2_7"
"483","S1","daily","MDMQ.v2_7r"
"484","S1","daily","MDMQ.v2_8"
"485","S1","daily","MDMQ.v2_9"
"486","S1","daily","MDMQ.v2_10"
"487","S1","daily","MDMQ.v2_10r"
"488","S1","daily","MDMQ.v2_11"
"489","S1","daily","MDMQ.v2_11r"
"490","S1","daily","MDMQ.v2_12"
"491","S1","daily","MDMQ.v2_13"
"492","S1","daily","alertness2"
"493","S1","daily","calmness2"
"494","S1","daily","valence2"
"495","S1","daily","t_MDMQ.v2_First_Click"
"496","S1","daily","t_MDMQ.v2_Last_Click"
"497","S1","daily","t_MDMQ.v2_Page_Submit"
"498","S1","daily","t_MDMQ.v2_Click_Count"
"499","S1","daily","inNonDutch"
"500","S1","daily","NonDutchNum"
"501","S1","daily","NonDutchType_1"
"502","S1","daily","NonDutchType_2"
"503","S1","daily","NonDutchType_3"
"504","S1","daily","NonDutchType_4"
"505","S1","daily","NonDutchType_5"
"506","S1","daily","NonDutchType_6"
"507","S1","daily","NonDutchType_7"
"508","S1","daily","NonDutchType_8"
"509","S1","daily","NonDutchType_9"
"510","S1","daily","NonDutchType_10"
"511","S1","daily","NonDutchType_11"
"512","S1","daily","NonDutchType_12"
"513","S1","daily","NonDutchType_13"
"514","S1","daily","NonDutchType_14"
"515","S1","daily","NonDutchType_15_TEXT"
"516","S1","daily","t_NonDutch_First_Click"
"517","S1","daily","t_NonDutch_Last_Click"
"518","S1","daily","t_NonDutch_Page_Submit"
"519","S1","daily","t_NonDutch_Click_Count"
"520","S1","daily","keyInteraction_1"
"521","S1","daily","keyInteractionTime"
"522","S1","daily","t_keyInteraction_First_Click"
"523","S1","daily","t_keyInteraction_Last_Click"
"524","S1","daily","t_keyInteraction_Page_Submit"
"525","S1","daily","t_keyInteraction_Click_Count"
"526","S1","daily","RecipientFirstName.0"
"527","S1","daily","RecipientLastName.0"
"528","S1","daily","RecipientEmail.0"
"529","S1","daily","ExternalDataReference"
"530","S1","daily","date"
"531","S1","daily","time.0"
"532","S1","daily","City"
"533","S1","daily","Zip"
"534","S1","daily","Area"
"535","S1","daily","Referer"
"536","S1","daily","DateTaken"
"537","S1","daily","TriggerResponseID"
"538","S1","daily","TriggerSurveyID"
"539","S1","daily","start.0"
"540","S1","daily","end"
"541","S1","daily","count.0"
